,name,latitude,longitude,free_bikes,empty_slots
361,"C/ DE SANT PAU, 119/ RONDA SANT PAU",41.3754047,2.1680021,16,7
362,"C/ DE LA SANTACREU, 2 (PL.DE LA VIRREINA)",41.4050968,2.1569161,0,25
363,"PORTAL DE SANTA MADRONA, 2-4",41.3770715,2.1758261,9,18
364,PG. MARÍTIM DE LA BARCELONETA/ANDREA DÒRIA,41.380955,2.1934636,25,9
365,"PL. JOAQUIM XIRAU I PALAU, 1",41.3785379,2.1767427,16,4
366,"C/ VILLAR, 2",41.4164824,2.1801094,12,18
367,"C/RADI,10/GRAN VIA DE LES CORTS CATALANES",41.363279,2.1341586,12,16
368,"GRAN VIA DE LES CORTS CATALANES, 592",41.3863747,2.1646697,3,29
369,"C/ CRISTOBAL DE MOURA, 84",41.410712,2.2061691,16,10
370,"C/ GOMBAU, 24",41.3872437,2.1793035,8,18
371,"C/ CASANOVA, 55",41.3847738,2.1592566,10,16
372,"AV. RASOS DE PEGUERA, 10",41.462095,2.178959,6,13
373,"C/ BERLÍN, 38",41.3832609,2.1392662,3,23
374,C/ JOSEP SAMITIER / JOAN XXIII,41.3812111,2.1190863,3,22
375,"VIA BARCINO, 69",41.4506081,2.1923629,9,11
376,"RBLA. BADAL, 73 | C/ CONSTITUCIÓ",41.3685394,2.1328403,15,2
377,"C/ ROSSELLÓ, 354",41.4031491,2.1707947,4,25
378,"C/ DOCTOR SALVADOR CARDENAL, 1-5",41.3853868,2.122893,3,28
379,"AV. D'EDUARD MARISTANY, 1 /FORUM",41.4109763,2.2193724,7,26
380,"PL. URQUINAONA, 3",41.3893094,2.1727457,1,25
381,"C/ CASANOVA, 119",41.387888,2.1552902,8,21
