,Bike Stop #,name,distance,venue_type
534,423,Museu del Modernisme Català,172,Art Museum
535,424,,,[]
536,425,Museu d'Art Contemporani de Barcelona,166,Museum
537,425,Museu del Barça,142,Museum
538,426,,,[]
539,427,,,[]
540,428,,,[]
541,429,,,[]
542,430,,,[]
543,431,,,[]
544,432,,,[]
545,433,Museu Can Framis,63,Art Museum
546,434,,,[]
547,435,,,[]
548,436,,,[]
549,437,,,[]
550,438,,,[]
551,439,,,[]
552,440,,,[]
553,441,,,[]
554,442,,,[]
555,443,,,[]
556,444,Cementeri de Poble Nou,144,Art Museum
557,445,,,[]
558,446,,,[]
559,447,,,[]
560,448,,,[]
561,449,,,[]
562,450,,,[]
563,451,,,[]
564,452,,,[]
565,453,,,[]
566,454,,,[]
567,455,,,[]
568,456,,,[]
569,457,,,[]
570,458,,,[]
571,459,,,[]
572,460,,,[]
573,461,,,[]
574,462,Design Museum of Barcelona (Museu del Disseny de Barcelona),96,Art Museum
575,462,Disseny Hub Barcelona,102,Art Museum
576,462,Museu del Disseny de Barcelona,96,Museum
577,463,Tienda Infame - Art Shop,196,Museum
578,464,,,[]
579,465,,,[]
580,466,,,[]
581,467,Pavelló de la República,130,Museum
582,468,,,[]
583,469,,,[]
584,470,,,[]
585,471,,,[]
586,472,,,[]
587,473,,,[]
588,474,MUHBA Casa de l'Aigua,76,Museum
589,475,,,[]
590,476,,,[]
591,477,,,[]
592,478,Domus avinyó,72,History Museum
593,478,Casa Natal Joan Miró,74,Museum
594,478,Museo de las ideas y los inventos,99,Museum
595,478,MUHBA Porta de Mar,146,History Museum
596,478,MUHBA Domus de Sant Honorat,153,History Museum
597,478,Centre d'Interpretació del Call,178,History Museum
598,478,Sinagoga Medieval de Barcelona,156,Museum
599,478,Artevistas,66,Art Gallery
600,479,Hemp Museum Gallery,174,Museum
601,479,Palau Mornau,183,Museum
602,479,Real Academia de Bellas Artés de San Jorge,184,Art Museum
603,480,Museu de Carrosses Fúnebres,112,History Museum
604,480,Gas Natural Fenosa,114,Art Museum
605,481,,,[]
606,482,Museu del Barça,52,Museum
607,483,,,[]
608,484,,,[]
609,485,,,[]
610,486,Espai Alchemika,23,Art Museum
611,487,,,[]
612,488,,,[]
613,489,,,[]
614,490,Museu d'Art Contemporani de Barcelona,39,Museum
615,490,Centro de Cultura Contemporánea de Barcelona,125,History Museum
616,491,,,[]
617,492,,,[]
618,493,,,[]
619,494,Nexus Recursos Humanos,197,Museum
620,495,,,[]
621,496,,,[]
622,497,Museu de Zoologia,113,Science Museum
623,497,Laboratori de Natura,123,Science Museum
624,498,,,[]
625,499,Fundacio Museu D'historia de la Medicina de Catalunya,116,Museum
626,500,,,[]
627,501,La Fábrica del Sol,190,Museum
628,502,,,[]
629,503,,,[]
630,504,,,[]
631,505,,,[]
632,506,,,[]
